name,BB,Phi,TR,LC,MLD,EE,CSE,AC
lstm,639,348,208,267,3,0,1,0
batch_norm,147,79,110,51,4,13,11,0
lrn,59,29,42,20,4,3,3,0
conv_transpose,55,23,42,14,5,0,1,3
conv,41,25,26,11,7,0,1,3
softmax,39,31,30,12,2,2,2,0
average_pool,30,14,16,10,4,2,2,0
global_average_pool,27,21,18,9,4,1,1,0
instance_norm,27,13,16,9,4,1,1,0
hardmax,20,16,16,5,2,1,1,0
reduce_mean,19,15,16,5,2,1,1,0
pad,19,7,20,2,2,0,1,3
maxpool,15,6,8,5,4,1,1,0
prelu,14,7,12,2,2,0,0,0
and,14,6,12,4,2,2,2,0
not,14,6,12,4,2,2,2,0
nms,14,13,12,4,1,1,1,0
argmax,13,11,12,2,2,0,0,0
matmul,12,12,8,4,3,0,0,0
gemm,12,12,8,4,3,0,0,0
transpose,11,7,10,4,2,1,2,0
nonzero,11,5,8,3,2,1,1,0
sum,10,11,8,3,2,0,0,0
reduce_min,10,11,8,3,2,0,0,0
reduce_sum,10,11,8,3,2,0,0,0
reduce_max,10,11,8,3,2,0,0,0
resize,9,3,4,3,3,0,0,0
upsample,9,3,4,3,3,0,0,0
add,9,4,6,3,2,1,1,0
cast,9,4,6,3,2,1,1,0
mul,9,4,6,3,2,1,1,0
relu,9,4,6,3,2,1,1,0
sub,9,4,6,3,2,1,1,0
div,9,4,6,3,2,1,1,0
pow,9,4,6,3,2,1,1,0
sqrt,9,4,6,3,2,1,1,0
clip,9,4,6,3,2,1,1,0
leaky_relu,9,4,6,3,2,1,1,0
tanh,9,4,6,3,2,1,1,0
exp,9,4,6,3,2,1,1,0
log,9,4,6,3,2,1,1,0
abs,9,4,6,3,2,1,1,0
neg,9,4,6,3,2,1,1,0
floor,9,4,6,3,2,1,1,0
greater,9,4,6,3,2,1,1,0
round,9,4,6,3,2,1,1,0
ceil,9,4,6,3,2,1,1,0
reciprocal,9,4,6,3,2,1,1,0
constant,9,4,6,3,2,1,1,0
sigmoid,9,4,6,3,2,1,1,0
constant_of_shape,9,4,6,3,2,1,1,0
less,9,4,6,3,2,1,1,0
less_or_equal,9,4,6,3,2,1,1,0
dropout,9,4,6,3,2,1,1,0
max,9,4,6,3,2,1,1,0
erf,9,4,6,3,2,1,1,0
tile,9,4,8,2,2,0,0,0
scan,9,1,14,0,0,0,0,0
roi_align,8,3,2,3,3,0,0,0
category_mapper,8,4,6,2,2,0,0,0
where,8,4,6,2,2,0,0,0
split,8,3,8,1,1,0,0,0
unsqueeze,7,5,6,2,1,0,0,0
identity,7,5,6,2,1,0,0,0
expand,7,5,6,2,1,0,0,0
concat,7,3,6,1,1,0,0,0
scatter,5,3,0,2,1,0,0,0
gather,5,1,4,1,1,0,0,0
topk,5,2,4,0,0,0,0,0
slice,3,1,0,1,1,0,0,0
reshape,3,0,2,0,0,0,0,0
squeeze,3,0,2,0,0,0,0,0
compress,3,0,2,0,0,0,0,0
flatten,3,0,2,0,0,0,0,0
shape,1,0,0,0,0,0,0,0
cumsum,1,0,0,0,0,0,0,0
range,1,0,0,0,0,0,0,0
loop,1,0,0,0,0,0,0,0
